회사명,거래소코드,회계년도,매출액증가율,총자본증가율,유동자산증가율,유형자산증가율,영업이익증가율,순이익증가율
일성건설(주),13360,2017,0.47250789640043545,0.10034454136161464,0.1861123127075175,-0.17763840044156975,-6.7935075172717525,-6.7935075172717525
일성건설(주),13360,2018,-0.13500689335295035,0.011292608875288046,0.023650852922103338,0.4676253770739065,-1.202005076857731,-1.202005076857731
일성건설(주),13360,2019,0.0324175585705091,0.13640988951729538,0.12295613617763745,-0.2547854427220997,-0.23603192326821543,-0.23603192326821543
일성신약(주),3120,2011,-0.005873894646631017,-0.12638138585455616,-0.04662966263539414,-0.06951375196120146,4.10374450063384,4.10374450063384
일성신약(주),3120,2012,0.13152592083136128,-0.07155677018345408,0.13142028591796406,-0.07130052498294626,0.0390140161018695,0.0390140161018695
일성신약(주),3120,2013,-0.18601774806238625,-0.028585339909397378,1.7294397005330202,-0.05780315314189288,-0.7817657298955528,-0.7817657298955528
일성신약(주),3120,2014,0.00034121726564784183,0.015325916035769716,0.03231993614437467,-0.05554674500806012,-0.492827797498384,-0.492827797498384
일성신약(주),3120,2015,-0.017250097291978017,-0.029976874372265705,1.1114943463715443,0.019266217043100164,23.50176301578064,23.50176301578064
일성신약(주),3120,2016,0.09261085524561974,-0.07772253145221097,-0.10422046567648369,-0.015203787420304704,-0.9694777742323671,-0.9694777742323671
일성신약(주),3120,2017,-0.006230772532845319,0.026468827536478612,0.031977136917872295,-0.05003143373241048,-0.12878947064902313,-0.12878947064902313
일성신약(주),3120,2018,-0.0804026846338326,-0.0005677661576004578,0.002193956182387824,-0.05201536805358664,0.12054691128878559,0.12054691128878559
일성신약(주),3120,2019,-0.21476739138068723,0.0640772387997477,-0.024983425412308358,-0.06596902198076893,1.2809315406502533,1.2809315406502533
일신방직(주),3200,2011,0.022555333874447525,0.0023590608371364397,0.13892702862615036,-0.04582075831892585,-0.5514429857812608,-0.5514429857812608
일신방직(주),3200,2012,-0.08871068241471836,-0.02146164320989552,-0.0881779204179799,-0.04912655308443037,-0.5570028859170841,-0.5570028859170841
일신방직(주),3200,2013,-0.03844145506465968,0.05274248258587,0.16262503433064102,0.011508114853987284,1.6656568583310691,1.6656568583310691
일신방직(주),3200,2014,0.022600633268393233,0.05428402102659691,0.058163048259887384,0.07186753701951654,-0.2461049251898294,-0.2461049251898294
일신방직(주),3200,2015,0.05293388393770648,0.08698708156091484,0.04827031779359725,0.2719832539079807,-0.18179585459118142,-0.18179585459118142
일신방직(주),3200,2016,0.05190128160545471,0.017221289339080847,0.05370475229889493,0.007950310000284677,0.02300903201563398,0.02300903201563398
일신방직(주),3200,2017,0.029688366827655743,-0.009904866884049346,-0.014949808770111983,-0.054578457574563255,-0.1763228772199834,-0.1763228772199834
일신방직(주),3200,2018,-0.00033449626192594284,0.04629082169576093,0.010505609058976129,0.012863048812885136,0.31079901511558883,0.31079901511558883
일신방직(주),3200,2019,0.007918266876167701,0.017352344433780642,0.07132780936704819,0.08262763741167678,-0.6427886820678066,-0.6427886820678066
일양약품(주),7570,2016,,,,,,
일양약품(주),7570,2017,0.03132885301781041,0.011850212571828278,0.12502926249387114,-0.024642894812853866,0.08179722221455954,0.08179722221455954
일양약품(주),7570,2018,0.11202407857325225,-0.009443017505769369,-0.02861900202138279,-0.03554989355621352,-0.7487779883514616,-0.7487779883514616
일양약품(주),7570,2019,0.08178044584280553,0.012036401463596524,0.06213042000442459,-0.025381615631772214,5.026984555647283,5.026984555647283
일정실업(주),8500,2011,0.3747130677484214,0.039186980641011226,0.1827376773234033,-0.07509312994158679,1.4077405063940192,1.4077405063940192
일정실업(주),8500,2012,0.22104893228841105,0.1701531842973829,0.2052383702487084,0.09800513549723511,3.045753153935925,3.045753153935925
일정실업(주),8500,2013,-0.006918035912916509,-0.0943076255217633,-0.0756439205437982,-0.08400569382344358,-0.6051484904191682,-0.6051484904191682
일정실업(주),8500,2014,-0.1803802549774859,-0.088412547769806,-0.11532348833294304,-0.21520733365850675,0.6097684661817717,0.6097684661817717
일정실업(주),8500,2015,-0.13401414519516097,0.07937674799965655,0.1097387763722939,0.18076351037223914,1.356887152675986,1.356887152675986
일정실업(주),8500,2016,0.15825054077660838,-0.01254385707249761,0.05541691001502702,-0.026567071260339192,-0.5545861698114587,-0.5545861698114587
일정실업(주),8500,2017,-0.37771483502739045,-0.015017770443883305,0.008264720787996005,-0.055354377663865195,-2.799498223334477,-2.799498223334477
일정실업(주),8500,2018,-0.021903467161076717,0.016313900783827107,0.03959489461621879,-0.06889540833938712,0.20461084438334454,0.20461084438334454
일정실업(주),8500,2019,-0.17122965543347346,-0.11367837883741139,-0.2245606350454349,-0.049459195376219234,0.9798872648068839,0.9798872648068839
일진다이아몬드(주),81000,2011,0.06025974359484465,0.14189250798561193,0.09388951917295185,0.22397543729858937,0.045240534487797524,0.045240534487797524
일진다이아몬드(주),81000,2012,0.04706391746180194,0.1371360563386812,-0.0396906839454807,0.2958180988091432,-0.34746366831651243,-0.34746366831651243
