회사명,거래소코드,회계년도,재고자산(*)(IFRS),매입채무(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS),매출액(수익)(*)(IFRS),이자비용(IFRS),유형자산(*)(IFRS),자본(*)(IFRS),당기순이익(손실)(IFRS),연구개발비(IFRS)
(주)경동나비엔,009450,2016/12,41128987,76535655,54602640,506082201,674318,138398427,210193123,28636194,7504305
(주)경동나비엔,009450,2017/12,57016736,86703690,13453817,569819524,586932,143721378,222028494,16291264,8781572
(주)경동나비엔,009450,2018/12,74930222,69560024,-9553832,618058456,1621661,157575992,240355951,22818064,12275514
(주)경동나비엔,009450,2019/12,66299991,80630620,38146715,655419303,1846977,165763623,254559521,20474157,10011736
(주)경동도시가스,267290,2017/12,1111165,295055522,18774744,870828897,324032,316263778,292628586,17678888,0
(주)경동도시가스,267290,2018/12,1299646,328641465,120320145,1605687067,431646,320275132,318760537,33981432,0
(주)경동도시가스,267290,2019/12,1333402,273615670,33602896,1421866212,958080,325567581,337701666,24355132,0
(주)경동인베스트,012320,2011/12,837931,411238914,90136711,1806174764,860199,265516704,412912132,50053289,0
(주)경동인베스트,012320,2012/12,1073025,574143486,154970428,2403814656,980749,279769365,468921996,56917580,0
(주)경동인베스트,012320,2013/12,759346,520836292,54868445,2664100017,703801,293643578,516833582,46253877,0
(주)경동인베스트,012320,2014/12,1014437,410419461,16430931,2399450987,700185,299563689,560802056,44839494,0
(주)경동인베스트,012320,2015/12,958537,245967803,-32486622,1352478311,618021,317414775,548528455,-6095609,0
(주)경동인베스트,012320,2016/12,1016660,227515846,32578235,1021002691,838066,320740081,556247783,16356641,0
(주)경동인베스트,012320,2017/12,0,0,49566809,612436,0,9664453,309789000,7248447,0
(주)경동인베스트,012320,2018/12,87903,0,1728544,7460898,143,12131746,310422538,1574966,0
(주)경동인베스트,012320,2019/12,176596,0,1024556,8641051,20591,2798610,308309156,-917643,0
(주)경방,000050,2011/12,71422892,1642636,-11592653,275746943,18256363,307701501,676624221,-1822388,0
(주)경방,000050,2012/12,50300747,3879239,27341666,265409209,18973265,301773723,669735441,-7074187,0
(주)경방,000050,2013/12,35601409,3610545,50395794,264782077,12391753,280675994,685569176,15103835,0
(주)경방,000050,2014/12,34615710,18354028,29566345,256979444,10956098,269480797,651570419,14235818,3922
(주)경방,000050,2015/12,37595998,16820107,44076364,307744480,8815740,258275719,671770865,21604723,12673
(주)경방,000050,2016/12,33656952,16642486,61707854,313876822,6009560,248710695,690245544,30977743,5721
(주)경방,000050,2017/12,22476156,15212310,51272565,288103985,5049544,229435458,710964923,25679379,12785
(주)경방,000050,2018/12,35574579,16114137,29443002,279085217,4891307,214332809,729185709,29198252,25475
(주)경방,000050,2019/12,13959690,16840264,65270564,253552382,5573255,64860661,740731873,22223943,22187
(주)경보제약,214390,2011/12,,,,,,,,,
(주)경보제약,214390,2012/12,,,,,,,,,
(주)경보제약,214390,2013/12,32202182,16387152,21628813,162218140,1517049,43796688,66218806,18024925,1194286
(주)경보제약,214390,2014/12,43107463,18288508,16041867,169781246,1084623,55285405,68329856,8635954,1251438
(주)경보제약,214390,2015/12,49522277,16602104,4240142,178032632,877670,74892236,122817151,26109623,1866738
(주)경보제약,214390,2016/12,47568951,15716878,25328803,186726170,960099,83949070,129402340,12705930,1484458
(주)경보제약,214390,2017/12,47964422,15450647,25805146,191661374,1004770,78497115,141509596,17963310,765403
(주)경보제약,214390,2018/12,53494316,15020329,-1138159,201343596,888660,76497132,149012165,13116049,769777
(주)경보제약,214390,2019/12,62312499,15296391,23668111,191706189,1298135,88116421,149163504,5285239,1418246
(주)경인양행,012610,2011/12,51423188,9018541,10022891,128707611,1889256,69431560,158882273,2788642,0
(주)경인양행,012610,2012/12,38724208,7778437,14914670,141304459,1951761,67259638,162112825,4475441,0
(주)경인양행,012610,2013/12,60685132,14114039,-1601346,183106757,1313167,72282759,178074513,12327177,0
(주)경인양행,012610,2014/12,57418066,5356136,15097174,190395047,1365662,77811393,186433506,9090269,0
(주)경인양행,012610,2015/12,62450588,7495266,-1240907,175006703,1042725,76154669,185903130,107330,0
(주)경인양행,012610,2016/12,66161603,17120817,8421999,179267850,893790,77953872,191021720,3724987,0
(주)경인양행,012610,2017/12,63955013,7614574,652491,193975818,1491758,86525558,190844102,531273,0
(주)경인양행,012610,2018/12,86129207,16868009,911833,222659442,2526100,90678289,198237400,7419717,0
(주)경인양행,012610,2019/12,101010142,14147013,-2222389,245244968,3393775,119519529,201086327,4797711,0
(주)고려시멘트,198440,2014/12,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,
(주)고려시멘트,198440,2017/12,3329941,5866237,3161867,87660276,179709,47901220,77394108,1003761,0
(주)고려시멘트,198440,2018/12,4242987,4413490,1728759,85775723,416976,48776544,86510962,4645869,0
(주)고려시멘트,198440,2019/12,6942200,3352457,2862239,70921781,425258,51139394,88445378,3396444,0
(주)고바이오랩,348150,2019/12,122956,68593,-3668964,576519,776589,283298,-53757039,-44214672,2822117
(주)고영테크놀러지,098460,2011/12,13001882,6712506,12776648,80200892,0,14869610,70382391,16580579,5151703
(주)고영테크놀러지,098460,2012/12,15164342,6921841,10610309,100791139,0,15336664,84090906,14836215,6445541
(주)고영테크놀러지,098460,2013/12,17888953,9720309,12177046,103933681,0,14690294,100051693,14816762,7279228
(주)고영테크놀러지,098460,2014/12,13344937,8064380,23831965,135531589,0,19812580,118348519,22775832,9955799
(주)고영테크놀러지,098460,2015/12,12475503,8691822,15161650,138554625,0,19340953,133570714,23271756,13874808
(주)고영테크놀러지,098460,2016/12,12591503,11628501,17957289,153254768,0,23462507,157572806,28063238,18591618
(주)고영테크놀러지,098460,2017/12,12749777,14022036,7492877,188934907,0,24158929,164836232,28907302,23075326
(주)고영테크놀러지,098460,2018/12,19487304,14095316,44999013,219818022,0,32377941,229271175,42430216,30047991
(주)고영테크놀러지,098460,2019/12,21338197,11824330,26124765,209480760,214477,35418136,252020628,34702997,31476309
(주)골드앤에스,035290,2011/12,2865869,1050496,8673653,47522791,1111573,995140,22637807,1101095,0
(주)골드앤에스,035290,2012/12,2643834,608923,2427629,43889087,1211151,851327,26252682,-6036290,0
(주)골드앤에스,035290,2013/12,3133301,1164614,-2348440,36607591,1083779,810357,9813150,-16378087,0
(주)골드앤에스,035290,2014/12,2940734,828614,-462082,29428881,1343057,502559,9084260,-8058617,0
(주)골드앤에스,035290,2015/12,2329866,706904,2167956,22197935,563197,299779,14991660,-9396462,0
(주)골드앤에스,035290,2016/12,1958738,247758,1667960,15893494,155685,193816,14102143,388207,0
(주)골드앤에스,035290,2017/12,1057469,218963,-940910,12802035,134375,336869,13104737,-8062623,0
(주)골드앤에스,035290,2018/12,1290682,89720,-2810496,8680452,1022896,11191043,13867013,-4045846,570892
(주)골드앤에스,035290,2019/12,498013,111463,-6246635,7642733,4887799,3722968,-5001092,-24883215,300698
(주)골드퍼시픽,038530,2011/12,4047225,0,1749769,11236925,121872,10069863,21829724,990336,111530
(주)골드퍼시픽,038530,2012/12,6326625,360536,-4543789,10491048,273605,8743387,22928402,254546,109303
(주)골드퍼시픽,038530,2013/12,5930685,0,-4333969,6488691,516393,7249195,17116411,-8455942,100252
(주)골드퍼시픽,038530,2014/12,3617004,0,-5423532,4855121,876341,5643164,16902289,-7306525,30896
(주)골드퍼시픽,038530,2015/12,1707754,235874,-7136666,6121489,599352,2580222,20115559,-12525668,0
(주)골드퍼시픽,038530,2016/12,55567,0,-6549921,9588100,489114,1333057,1889641,-23433498,0
(주)골드퍼시픽,038530,2017/12,545070,631826,-878680,5031439,1516482,1297094,5364494,-965087,0
(주)골드퍼시픽,038530,2018/12,807960,105811,-2028216,5580994,1331186,83408,20086698,-4380343,0
(주)골드퍼시픽,038530,2019/12,3548341,1568859,-3541143,11323125,3838407,908909,21069318,-31603970,0
(주)골프존,215000,2015/12,1816661,2629604,41872803,184085342,711133,74039599,105063093,33262807,0
(주)골프존,215000,2016/12,11069054,2581843,32717567,196864993,745423,69486714,115886579,35913366,0
(주)골프존,215000,2017/12,10223995,3390826,79436410,171859065,708492,66800539,181394935,75544308,0
(주)골프존,215000,2018/12,7999910,4098802,34481459,191571105,744489,81753994,197436844,21663391,0
(주)골프존,215000,2019/12,7433871,2799499,38567865,239051647,814308,110267389,205529589,19704546,0
(주)골프존뉴딘홀딩스,121440,2011/12,5109784,4597262,46694787,209788389,31093,49239742,348104397,47591974,0
(주)골프존뉴딘홀딩스,121440,2012/12,16416317,6329293,73950383,276341690,1521547,136357274,410999847,72099265,0
(주)골프존뉴딘홀딩스,121440,2013/12,31018699,9273972,72616582,340005073,2123633,136081977,427556455,4493226,0
(주)골프존뉴딘홀딩스,121440,2014/12,29629196,6628808,30858148,387066126,1558321,178117980,473636026,63571492,0
(주)골프존뉴딘홀딩스,121440,2015/12,0,0,-16346800,29389093,656650,98347480,551703320,890006593,0
(주)골프존뉴딘홀딩스,121440,2016/12,0,0,5618275,27652102,1256700,98552925,506841449,-20255655,0
(주)골프존뉴딘홀딩스,121440,2017/12,0,0,-1147880,23499543,1386530,92900686,480074463,-21778628,0
(주)골프존뉴딘홀딩스,121440,2018/12,0,0,-4416464,16100354,1550557,83633825,484480922,-7653686,0
(주)골프존뉴딘홀딩스,121440,2019/12,0,0,2640435,26897482,1993026,70002997,450069457,-30341791,0
(주)공구우먼,366030,2017/12,,,,,,,,,
(주)공구우먼,366030,2018/12,,,,,,,,,
(주)공구우먼,366030,2019/12,,,,,,,,,
(주)광림,014200,2011/12,25192191,8267561,11879861,106495363,1157233,23759906,56677106,2583332,0
(주)광림,014200,2012/12,27920478,6836814,2753017,85322569,771343,23876350,63502275,586385,0
(주)광림,014200,2013/12,20425937,12095362,14536213,103442134,535375,23947251,64796802,1630750,0
