회사명,거래소코드,회계년도,이익잉여금(결손금)(*)(IFRS)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),합계_기말인원(명),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),종가(원)
(주)TCC스틸,002710,2016/12,57295473,23634173,282914735,179577101,444453635,277,4.91,2.67,0.85,0.46,2465
(주)TCC스틸,002710,2017/12,53415886,5082560,278692540,177776736,391370092,283,0,0,0.71,0.47,1890
(주)TCC스틸,002710,2018/12,60236208,15364226,304781579,192535369,413176279,277,7.99,4.81,0.64,0.39,2000
(주)TCC스틸,002710,2019/12,58623676,10751593,314210087,197366953,437173902,275,34.42,21.21,0.73,0.45,2720
(주)가비아,079940,2010/12,17142025,6783187,52912228,15686573,40623302,155,13.14,7.2,2.06,1.13,3050
(주)가비아,079940,2011/12,20037362,8869912,64954440,16288697,52838864,191,16.26,7.89,2.37,1.15,3950
(주)가비아,079940,2012/12,25408181,11450531,85244515,26299269,69058144,211,18.71,8.33,3.63,1.62,4035
(주)가비아,079940,2013/12,28938410,11314450,91231294,22631067,70675565,228,23.59,13.38,2.7,1.53,4790
(주)가비아,079940,2014/12,31456150,8012086,98544072,23034370,80432047,247,34.59,21,2.92,1.77,6420
(주)가비아,079940,2015/12,35483865,10236592,105081568,20985420,91648622,262,24.11,14.88,2.54,1.57,7130
(주)가비아,079940,2016/12,38636839,11234043,125796754,29844914,102178978,268,32.08,20.7,2.62,1.69,5840
(주)가비아,079940,2017/12,40739522,11168630,133382584,33486064,116217941,275,38.48,27.19,2.1,1.48,5870
(주)가비아,079940,2018/12,43111194,18069764,151440505,37253015,128728438,280,48.8,27.68,2.82,1.6,6360
(주)가비아,079940,2019/12,47374904,24758255,199916131,64956993,148306878,277,31.26,17.97,2.74,1.57,8280
(주)가온칩스,399720,2018/12,,,,,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,,,,,
(주)강스템바이오텍,217730,2013/12,,,,,,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,,,,,,
(주)강스템바이오텍,217730,2015/12,-16105881,,,,,62,0,0,8.07,4.81,10900
(주)강스템바이오텍,217730,2016/12,-24406256,,,,,79,0,0,14.31,6.04,10800
(주)강스템바이오텍,217730,2017/12,-35262098,-10124655,47198979,22716816,9132939,75,0,0,9.29,5.64,12500
(주)강스템바이오텍,217730,2018/12,-51691066,-14063448,73194018,25612644,9165454,89,0,0,8.33,3.38,21800
