,회사명,회계년도,거래소코드,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)
387,(주)그래디언트,2018/12,35080,58500000.0
388,(주)그래디언트,2019/12,35080,58500000.0
389,(주)그리티,2010/12,204020,
390,(주)그리티,2011/12,204020,
391,(주)그리티,2012/12,204020,
392,(주)그리티,2013/12,204020,
393,(주)그리티,2014/12,204020,
394,(주)그리티,2015/12,204020,
395,(주)그리티,2016/12,204020,
396,(주)그리티,2017/12,204020,
397,(주)그리티,2018/12,204020,10073715.0
398,(주)그리티,2019/12,204020,20147430.0
399,(주)그린플러스,2010/12,186230,
400,(주)그린플러스,2011/12,186230,
401,(주)그린플러스,2012/12,186230,
402,(주)그린플러스,2013/12,186230,3035468.0
403,(주)그린플러스,2014/12,186230,2946484.0
404,(주)그린플러스,2015/12,186230,2992574.0
405,(주)그린플러스,2016/12,186230,3700547.0
406,(주)그린플러스,2017/12,186230,3700547.0
407,(주)그린플러스,2018/12,186230,3784614.0
408,(주)그린플러스,2019/12,186230,4823871.0
409,(주)극동자동화,2014/12,272420,
410,(주)극동자동화,2015/12,272420,
411,(주)극동자동화,2016/12,272420,
412,(주)극동자동화,2017/12,272420,500000.0
413,(주)글로벌스탠다드테크놀로지,2010/12,83450,7520000.0
414,(주)글로벌스탠다드테크놀로지,2011/12,83450,7520000.0
415,(주)글로벌스탠다드테크놀로지,2012/12,83450,8418874.0
416,(주)글로벌스탠다드테크놀로지,2013/12,83450,8913253.0
417,(주)글로벌스탠다드테크놀로지,2014/12,83450,9317745.0
418,(주)글로벌스탠다드테크놀로지,2015/12,83450,9317745.0
419,(주)글로벌스탠다드테크놀로지,2016/12,83450,9317745.0
420,(주)글로벌스탠다드테크놀로지,2017/12,83450,9317745.0
421,(주)글로벌스탠다드테크놀로지,2018/12,83450,9317745.0
422,(주)글로벌스탠다드테크놀로지,2019/12,83450,9317745.0
423,(주)금양,2010/12,1570,39353308.0
424,(주)금양,2011/12,1570,39353308.0
425,(주)금양,2012/12,1570,39353308.0
426,(주)금양,2013/12,1570,39353308.0
427,(주)금양,2014/12,1570,39353308.0
428,(주)금양,2015/12,1570,39353308.0
429,(주)금양,2016/12,1570,39353308.0
430,(주)금양,2017/12,1570,42710111.0
431,(주)금양,2018/12,1570,43226540.0
432,(주)금양,2019/12,1570,44048135.0
433,(주)금오하이텍,2010/12,165270,
434,(주)금오하이텍,2011/12,165270,
435,(주)금오하이텍,2012/12,165270,
436,(주)금오하이텍,2013/12,165270,4573630.0
437,(주)금오하이텍,2014/12,165270,4573630.0
438,(주)금오하이텍,2015/12,165270,5513630.0
439,(주)금오하이텍,2016/12,165270,5513630.0
440,(주)금호에이치티,2010/12,214330,
441,(주)금호에이치티,2011/12,214330,
442,(주)금호에이치티,2012/12,214330,
443,(주)금호에이치티,2013/12,214330,
444,(주)금호에이치티,2014/12,214330,
445,(주)금호에이치티,2015/12,214330,9765000.0
446,(주)금호에이치티,2016/12,214330,9765000.0
447,(주)금호에이치티,2017/12,214330,9765000.0
448,(주)금호에이치티,2018/12,214330,15831019.0
449,(주)금호에이치티,2019/12,214330,23608582.0
450,(주)금화피에스시,2010/12,36190,6000000.0
451,(주)금화피에스시,2011/12,36190,6000000.0
452,(주)금화피에스시,2012/12,36190,6000000.0
453,(주)금화피에스시,2013/12,36190,6000000.0
454,(주)금화피에스시,2014/12,36190,6000000.0
455,(주)금화피에스시,2015/12,36190,6000000.0
456,(주)금화피에스시,2016/12,36190,6000000.0
457,(주)금화피에스시,2017/12,36190,6000000.0
458,(주)금화피에스시,2018/12,36190,6000000.0
459,(주)금화피에스시,2019/12,36190,6000000.0
460,(주)기가레인,2010/12,49080,
461,(주)기가레인,2013/12,49080,15963213.0
462,(주)기가레인,2014/12,49080,17704421.0
463,(주)기가레인,2015/12,49080,17704421.0
464,(주)기가레인,2016/12,49080,17704421.0
465,(주)기가레인,2017/12,49080,48600920.0
466,(주)기가레인,2018/12,49080,50392650.0
467,(주)기가레인,2019/12,49080,52276120.0
468,(주)기산텔레콤,2010/12,35460,14337340.0
469,(주)기산텔레콤,2011/12,35460,14337340.0
470,(주)기산텔레콤,2012/12,35460,14337340.0
471,(주)기산텔레콤,2013/12,35460,14337340.0
472,(주)기산텔레콤,2014/12,35460,14337340.0
473,(주)기산텔레콤,2015/12,35460,14390340.0
474,(주)기산텔레콤,2016/12,35460,14577340.0
475,(주)기산텔레콤,2017/12,35460,14577340.0
476,(주)기산텔레콤,2018/12,35460,14577340.0
477,(주)기산텔레콤,2019/12,35460,14577340.0
478,(주)까뮤이앤씨,2010/12,13700,4515228.0
479,(주)까뮤이앤씨,2011/12,13700,4515228.0
480,(주)까뮤이앤씨,2012/12,13700,4515228.0
481,(주)까뮤이앤씨,2013/12,13700,4515228.0
482,(주)까뮤이앤씨,2014/12,13700,4515228.0
483,(주)까뮤이앤씨,2015/12,13700,4515228.0
484,(주)까뮤이앤씨,2016/12,13700,4515228.0
485,(주)까뮤이앤씨,2017/12,13700,4515228.0
486,(주)까뮤이앤씨,2018/12,13700,45152280.0
487,(주)까뮤이앤씨,2019/12,13700,45152280.0
488,(주)까스텔바작,2016/12,308100,
489,(주)까스텔바작,2017/12,308100,
490,(주)까스텔바작,2018/12,308100,
491,(주)까스텔바작,2019/12,308100,6596700.0
492,(주)나노,2014/12,187790,5500000.0
493,(주)나노,2015/12,187790,23784935.0
494,(주)나노,2016/12,187790,29225943.0
495,(주)나노,2017/12,187790,39269856.0
496,(주)나노,2018/12,187790,23851615.0
497,(주)나노,2019/12,187790,25797855.0
498,(주)나노브릭,2015/12,286750,
499,(주)나노브릭,2016/12,286750,
500,(주)나노브릭,2017/12,286750,
501,(주)나노브릭,2018/12,286750,
502,(주)나노브릭,2019/12,286750,4560103.0
503,(주)나노신소재,2010/12,121600,5337000.0
504,(주)나노신소재,2011/12,121600,7232222.0
505,(주)나노신소재,2012/12,121600,7232222.0
506,(주)나노신소재,2013/12,121600,7232222.0
507,(주)나노신소재,2014/12,121600,7232222.0
508,(주)나노신소재,2015/12,121600,10848333.0
509,(주)나노신소재,2016/12,121600,10925933.0
510,(주)나노신소재,2017/12,121600,10925933.0
511,(주)나노신소재,2018/12,121600,10925933.0
512,(주)나노신소재,2019/12,121600,10916733.0
513,(주)나노엔텍,2010/12,39860,17649034.0
514,(주)나노엔텍,2011/12,39860,19456164.0
515,(주)나노엔텍,2012/12,39860,19456164.0
516,(주)나노엔텍,2013/12,39860,19758964.0
517,(주)나노엔텍,2014/12,39860,22571338.0
518,(주)나노엔텍,2015/12,39860,24338338.0
519,(주)나노엔텍,2016/12,39860,24438338.0
520,(주)나노엔텍,2017/12,39860,24468214.0
521,(주)나노엔텍,2018/12,39860,26292790.0
522,(주)나노엔텍,2019/12,39860,26532807.0
523,(주)나노트로닉스,2010/12,10670,12578175.0
