회사명,거래소코드,회계년도,이익잉여금(결손금)(*)(IFRS)(천원),법인세비용차감전순이익(손실)(IFRS)(천원),자산(*)(IFRS)(천원),부채(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),합계_기말인원(명),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),종가(원)
(주)경동인베스트,012320,2015/12,473607690,-6796045,926392697,377864242,1352478311,287,0,0,0.85,0.57,89200
(주)경동인베스트,012320,2016/12,487530956,26031770,903818865,347571082,1021002691,286,19.17,12.59,0.58,0.38,76700
(주)경동인베스트,012320,2017/12,490204342,-191739,318031347,8242347,612436,11,31.06,14.18,0.73,0.34,42750
(주)경동인베스트,012320,2018/12,490394281,1659741,318776653,8354115,7460898,13,114.12,52.56,0.58,0.27,37250
(주)경동인베스트,012320,2019/12,488388576,-1613434,316572482,8263326,8641051,12,0,0,0.38,0.24,36650
(주)경방,000050,2010/12,654348912,25662853,1308628573,628563065,277727642,536,12.13,8.73,0.43,0.31,120500
(주)경방,000050,2011/12,651756658,-2205028,1331930968,655306746,275746943,593,0,0,0.45,0.26,93800
(주)경방,000050,2012/12,644682471,-9445676,1301719900,631984460,265409209,579,0,0,0.43,0.26,89600
(주)경방,000050,2013/12,659786305,19630196,1261257414,575688238,264782077,676,24.26,13.4,0.54,0.3,109000
(주)경방,000050,2014/12,638717786,16934666,1275008413,623437994,256979444,679,38.52,20.7,0.85,0.45,182000
(주)경방,000050,2015/12,658295948,28221124,1259512344,587741479,307744480,615,33.63,19.54,1.09,0.63,192500
(주)경방,000050,2016/12,676787816,33916322,1237024388,546778844,313876822,574,19.47,1.35,0.88,0.06,15300
(주)경방,000050,2017/12,697532447,35942471,1199063663,488098740,288103985,503,18.1,13.99,0.66,0.51,13900
(주)경방,000050,2018/12,721795950,36158803,1226545382,497359673,279085217,462,16.01,9.67,0.65,0.39,10800
(주)경방,000050,2019/12,739385682,32508826,1296265431,555533558,253552382,259,15.48,11.29,0.47,0.34,9280
(주)경보제약,214390,2010/12,,,,,,,,,,,
(주)경보제약,214390,2011/12,,,,,,,,,,,
(주)경보제약,214390,2012/12,,,,,,,,,,,
(주)경보제약,214390,2013/12,49229635,23121389,143382795,77163989,162218140,,0,0,0,0,
(주)경보제약,214390,2014/12,51042767,30034305,168034561,99704705,169781246,,0,0,0,0,
(주)경보제약,214390,2015/12,70137655,25532309,195488457,72671307,178032632,398,33.51,11.01,7.64,2.51,14200
(주)경보제약,214390,2016/12,77090268,15643086,203735980,74333640,186726170,416,42.9,21.92,4.49,2.3,13950
(주)경보제약,214390,2017/12,90122029,24261039,204869399,63359803,191661374,410,19.7,14.37,2.66,1.94,12550
(주)경보제약,214390,2018/12,97110586,17643548,221622993,72610828,201343596,450,31.44,16.95,2.91,1.57,10250
(주)경보제약,214390,2019/12,97311975,6982154,237816742,88653237,191706189,494,52.24,33.2,1.93,1.22,8260
(주)경인양행,012610,2010/12,113286639,3338298,250809034,93123885,149007816,291,45.77,30.29,1,0.66,3500
(주)경인양행,012610,2011/12,114230282,2928955,245825940,86943667,128707611,378,59.44,25.35,1.06,0.45,4035
(주)경인양행,012610,2012/12,116860723,5339587,241045608,78932783,141304459,367,37.37,19.02,1.05,0.54,2730
(주)경인양행,012610,2013/12,127391896,16464753,274570963,96496450,183106757,431,15.99,8.54,1.13,0.61,4150
(주)경인양행,012610,2014/12,134539345,11634825,267331084,80897578,190395047,440,36,16.89,1.79,0.84,4260
(주)경인양행,012610,2015/12,132695355,332694,273778266,87875136,175006703,469,2352.34,1208.16,1.39,0.71,3670
(주)경인양행,012610,2016/12,134468521,4674903,290035389,99013669,179267850,486,76.89,34.16,1.53,0.68,4990
(주)경인양행,012610,2017/12,133022974,1008147,296909084,106064982,193975818,517,524.66,279.82,1.49,0.8,5800
(주)경인양행,012610,2018/12,138420161,8898902,344908257,146670857,222659442,619,40.51,25.59,1.57,0.99,5800
(주)경인양행,012610,2019/12,141210052,3754638,381063538,179977211,245244968,617,85.88,46.23,2.11,1.14,7740
(주)고려시멘트,198440,2014/12,,,,,,,,,,,2045
(주)고려시멘트,198440,2015/12,,,,,,,,,,,2020
(주)고려시멘트,198440,2016/12,,,,,,,,,,,1995
(주)고려시멘트,198440,2017/12,32693982,1729769,115881620,38487512,87660276,110,96.87,51.17,1.3,0.68,1720
(주)고려시멘트,198440,2018/12,36114087,6292554,127536833,41025871,85775723,112,30.67,11.05,1.68,0.61,2595
(주)고려시멘트,198440,2019/12,38016547,3677875,127035573,38590195,70921781,97,43.83,18.17,1.7,0.71,3075
(주)고바이오랩,348150,2019/12,-56732604,-44214672,34573964,88331003,576519,,,,,,
(주)고영테크놀러지,098460,2010/12,33328807,18628776,69471782,14478891,71207683,132,14.53,5.4,4.59,1.71,18000
(주)고영테크놀러지,098460,2011/12,48018923,19894394,87017886,16635495,80200892,162,18.21,8.84,4.84,2.35,30900
(주)고영테크놀러지,098460,2012/12,60686393,18233251,103019642,18928736,100791139,202,19.13,13.16,3.74,2.57,28100
(주)고영테크놀러지,098460,2013/12,73046733,16924343,121329325,21277632,103933681,224,21.4,15.44,3.54,2.55,27950
