회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),자산(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),계속영업이익(손실)(IFRS)(천원),유동자산(*)(IFRS)(천원),유형자산(*)(IFRS)(천원)
(주)골프존뉴딘홀딩스,121440,2013/12,340005073,589946855,4493226,4493226,315880696,136081977
(주)골프존뉴딘홀딩스,121440,2014/12,387066126,586599347,63571492,63571492,174950116,178117980
(주)골프존뉴딘홀딩스,121440,2015/12,29389093,585663015,890006593,-9286723,45672526,98347480
(주)골프존뉴딘홀딩스,121440,2016/12,27652102,561892958,-20255655,-20255655,63048320,98552925
(주)골프존뉴딘홀딩스,121440,2017/12,23499543,536244772,-21778628,-21778628,46961353,92900686
(주)골프존뉴딘홀딩스,121440,2018/12,16100354,563387103,-7653686,-7653686,59445798,83633825
(주)골프존뉴딘홀딩스,121440,2019/12,26897482,537526345,-30341791,-30341791,30696570,70002997
(주)공구우먼,366030,2017/12,,,,,,
(주)공구우먼,366030,2018/12,,,,,,
(주)공구우먼,366030,2019/12,,,,,,
(주)광림,014200,2010/12,93434519,110345912,2168624,2168624,71241513,23729556
(주)광림,014200,2011/12,106495363,86353051,2583332,2583332,49443117,23759906
(주)광림,014200,2012/12,85322569,89766075,586385,586385,53533329,23876350
(주)광림,014200,2013/12,103442134,101592603,1630750,1630750,66494275,23947251
(주)광림,014200,2014/12,92553612,120284256,1137559,1137559,53880127,23724344
(주)광림,014200,2015/12,237222890,146338755,9223597,9223597,57623469,24452723
(주)광림,014200,2016/12,87302967,152080347,437352,437352,51509785,25674614
(주)광림,014200,2017/12,99421336,369582323,86196134,86196134,255751980,26240529
(주)광림,014200,2018/12,75493055,236379465,-58294056,-58294056,145430179,24128152
(주)광림,014200,2019/12,93241157,193568854,-68290742,-68290742,82568345,23627901
(주)광명전기,017040,2010/12,68250250,91484700,-231240,-231240,43655334,10607126
(주)광명전기,017040,2011/12,57967857,99992644,-75153,-75153,50517306,11465013
(주)광명전기,017040,2012/12,79318302,104218586,-1564026,-1564026,59736559,11648472
(주)광명전기,017040,2013/12,90344376,105483729,5301060,5301060,64082992,11245458
(주)광명전기,017040,2014/12,115801471,119791644,6978508,6978508,76850052,12676386
(주)광명전기,017040,2015/12,93000177,107719518,3442541,3442541,63045495,12392219
(주)광명전기,017040,2016/12,96931493,125405290,15612709,15612709,62147467,12127197
(주)광명전기,017040,2017/12,105083042,128881408,-1349854,-1349854,64686772,15402240
(주)광명전기,017040,2018/12,96949804,124159091,3182514,3182514,59981263,21240625
(주)광명전기,017040,2019/12,125009206,140591786,6470387,6470387,77171530,20755434
(주)광무,029480,2010/12,80284671,118110114,-1612170,-1612170,61043103,3814185
(주)광무,029480,2011/12,50359203,85836111,-51537196,-51537196,35909129,17456144
(주)광무,029480,2012/12,40406860,60163490,-15113066,-15113066,16266767,12347204
(주)광무,029480,2013/12,10105219,28890332,-33154332,-33154332,7025489,10935118
(주)광무,029480,2014/12,38409667,27862528,-859721,-859721,9475626,8657715
(주)광무,029480,2015/12,17648493,21133216,-2727754,-2727754,5286509,8108941
(주)광무,029480,2016/12,26429957,29089768,95615,95615,11893960,8053509
(주)광무,029480,2017/12,21540953,28950503,-3352682,-3352682,14949942,7752645
(주)광무,029480,2018/12,20707286,26017306,-4875184,-4875184,12582516,7903725
