거래소코드,회계년도,수정종가,회사명,시가총액,거래량회전율,로그시가총액,수정거래량,거래량증가율,시가총액증가율
15020,2019,6670.0,이스타코보통주,285820172000.0,1.3135571133866646,11.456092876236402,8438.984107946028,-0.5667040535138741,-0.08253094910591474
15050,2010,5650.0,비전하이테크,,,,3336.980884955752,,
15110,2010,3915.0,중앙건설(보통주),25798859505.0,1.7347678143030378,10.411600507450318,2919.9696040868453,,
15110,2011,1935.0,중앙건설(보통주),12751160445.0,7.06742019079033,10.105549710411287,24068.481136950904,3.073986231771163,-0.5057471264367817
15110,2012,600.0,중앙건설(보통주),,,,96563.23,0.2440372390485881,0.0
15170,2010,6700.0,중앙바이오텍,,,,19013.68641791045,,
15200,2010,5520.0,비앤비성원,732357819360.0,7.671360180559922,11.86472332286788,184381.5838768116,,
15200,2011,3865.0,비앤비성원,,,,356505.96946959896,0.3538161338838086,0.0
15200,2012,1365.0,비앤비성원,,,,374497.70695970696,-0.6290071755887754,0.0
15230,2010,19475.0,대창단조보통주,38950000000.0,1.348962,10.590507462008583,138.53268292682927,,
15230,2011,30800.0,대창단조보통주,61600000000.0,1.935006,10.789580712164426,125.64974025974026,0.43444070329631224,0.5815147625160462
15230,2012,37825.0,대창단조보통주,75650000000.0,1.585399,10.878808932359206,83.8281031064111,-0.1806748919641593,0.2280844155844155
15230,2013,45200.0,대창단조보통주,90400000000.0,1.0195965,10.956168430475364,45.114889380530975,-0.35688334608511796,0.19497686715135498
15230,2014,45875.0,대창단조보통주,91750000000.0,0.569996,10.962606072924126,24.849961852861036,-0.44095924221003113,0.014933628318584136
15230,2015,42675.0,대창단조보통주,85350000000.0,0.6808855,10.931203525450753,31.910275336848272,0.1945443476796329,-0.0697547683923706
15230,2016,45475.0,대창단조보통주,90950000000.0,0.5006155,10.958802703399503,22.01717427157779,-0.26475817152810566,0.0656121851200937
15230,2017,53450.0,대창단조보통주,106900000000.0,0.617453,11.028977705208778,23.10394761459308,0.233387699741618,0.17537108301264426
15230,2018,50800.0,대창단조보통주,101600000000.0,0.580246,11.006893707947901,22.844330708661417,-0.060258837514758246,-0.04957904583723105
15230,2019,35550.0,대창단조보통주,101574277650.0,0.28121361195818456,11.006783742504878,22.60168776371308,-0.3076298673321315,-0.0002531727362204972
15260,2010,7610.0,에이엔피보통주,194919397070.0,11.210557818395369,11.289855059339788,37732.27306176084,,
15260,2011,10015.0,에이엔피보통주,272720798495.0,6.388873173682587,11.43571825978678,17371.631952071893,-0.3941097725945908,0.39914653233336117
15260,2012,11145.0,에이엔피보통주,429692822490.0,33.447243196573226,11.633158099369217,115706.6398384926,6.412194064115203,0.575577751536533
15260,2013,8945.0,에이엔피보통주,371181165410.0,13.034490677135675,11.5695859310004,60467.123197316934,-0.5805682549224956,-0.13617089701646512
15260,2014,9600.0,에이엔피보통주,398361004800.0,3.1453389004003234,11.600276819136578,13595.707083333333,-0.7586910775180737,0.07322526551145891
15260,2015,13950.0,에이엔피보통주,603039695400.0,18.68980307320247,11.780345900740093,57916.486953405016,5.190181546889632,0.5138020241282413
15260,2016,22050.0,에이엔피보통주,1066998132900.0,18.22300518343297,12.028163659469515,39991.387346938776,0.09143693321871016,0.7693663303412448
15260,2017,18755.0,에이엔피보통주,913084699340.0,12.372460473755417,11.960511065321631,32116.854438816317,-0.31691459289503643,-0.1442490186385592
15260,2018,6415.0,에이엔피보통주,531064928220.0,2.5167975625690433,11.725147621352368,32478.995167575995,-0.6541011059479123,-0.41838371773848937
15260,2019,3710.0,에이엔피보통주,307131860280.0,2.5716337072615736,11.487324870256467,57383.3846361186,0.021788063334166496,-0.421667965705378
15350,2010,20850.0,부산도시가스보통주,,,,84.23247002398081,,
15350,2011,19725.0,부산도시가스보통주,,,,91.85789607097593,0.03168688686728016,
15350,2012,19500.0,부산도시가스보통주,,,,79.02866666666667,-0.14947759171740993,
15350,2013,29350.0,부산도시가스보통주,,,,177.89212947189097,2.3880169415966552,
15350,2014,36275.0,부산도시가스보통주,,,,20.35382494831151,-0.8585872341142748,
15350,2015,33575.0,부산도시가스보통주,,,,38.91276247207744,0.7695165473667103,
15350,2016,34075.0,부산도시가스보통주,,,,18.785091709464417,-0.5100620285098462,
15350,2017,35900.0,부산도시가스보통주,,,,15.262534818941504,-0.14400361192434952,
15350,2018,36500.0,부산도시가스보통주,,,,22.830520547945206,0.5208541314960988,
15350,2019,36500.0,부산도시가스보통주,,,,17.224630136986303,-0.2455436966137614,
15360,2010,24675.0,예스코홀딩스보통주,148050000000.0,0.132727,11.170408411725319,32.27404255319149,,
15360,2011,24825.0,예스코홀딩스보통주,148950000000.0,0.1677625,11.173040507551063,40.546827794561935,0.2639666382876129,0.006079027355623046
15360,2012,26775.0,예스코홀딩스보통주,160650000000.0,0.25869333333333333,11.205880729887538,57.97049486461251,0.542021210540695,0.0785498489425982
15360,2013,33200.0,예스코홀딩스보통주,199200000000.0,0.22954383333333334,11.29928933408768,41.48382530120482,-0.11267974951035975,0.23996265172735765
15360,2014,36400.0,예스코홀딩스보통주,218400000000.0,0.07263416666666667,11.3392526340327,11.972664835164835,-0.6835716925525481,0.09638554216867479
15360,2015,36200.0,예스코홀딩스보통주,217200000000.0,0.2851206666666667,11.336859820916809,47.257569060773484,2.9254345406775966,-0.005494505494505475
15360,2016,36775.0,예스코홀딩스보통주,220650000000.0,0.13954166666666667,11.343703931783212,22.7668252889191,-0.5105873302765379,0.015883977900552404
15360,2017,37225.0,예스코홀딩스보통주,223350000000.0,0.136321,11.348985956807857,21.972491605104096,-0.02308032248432368,0.01223657375934728
15360,2018,38875.0,예스코홀딩스보통주,233250000000.0,0.2050975,11.367821652418538,31.65491961414791,0.5045187461946434,0.04432505036937551
15360,2019,38850.0,예스코홀딩스보통주,233100000000.0,0.043270666666666666,11.367542273520577,6.682728442728442,-0.7890239195179528,-0.0006430868167202064
15390,2010,78750.0,엘앤씨피,1166335222500.0,0.9046405663617005,12.06682339121051,170.1368253968254,,
15390,2011,74925.0,엘앤씨피,,,,5461.851184517851,29.54342443336922,0.0
15390,2012,2425.0,엘앤씨피,,,,26721.665154639177,-0.841653435287609,0.0
15540,2010,4410.0,쎌마테라퓨틱스보통주,108274068630.0,3.9471236146157556,11.034524456631006,21974.955555555556,,
15540,2011,2950.0,쎌마테라퓨틱스보통주,72428231850.0,5.754152980886278,10.85990788314133,47890.04610169491,0.457809165028249,-0.3310657596371882
15540,2012,5055.0,쎌마테라퓨틱스보통주,194880071865.0,5.703460263987213,11.289767431105528,43497.42334322453,0.5563863750717781,1.6906644948698966
15540,2013,6200.0,쎌마테라퓨틱스보통주,259161060200.0,4.42700093260384,11.4135697479289,29846.676774193547,-0.1584053218246041,0.3298489564368059
15540,2014,15650.0,쎌마테라퓨틱스보통주,322789325400.0,3.5808758433001144,11.508919164226828,4719.3234504792335,-0.6008773138605651,0.24551630229825716
15540,2015,35800.0,쎌마테라퓨틱스보통주,1037364177400.0,7.502110233366151,12.015931246717019,6072.235893854749,1.943320637879919,2.213749947011104
15540,2016,77800.0,쎌마테라퓨틱스보통주,269508069200.0,178.69205978787073,11.430571772701128,7956.422442159383,1.847513353490561,-0.7401991749170651
15540,2017,91200.0,쎌마테라퓨틱스보통주,396559214400.0,2.80259700655691,11.59830804554284,133.6223245614035,-0.9803131410229061,0.4714187058559507
15540,2018,68200.0,쎌마테라퓨틱스보통주,375974665000.0,2.205938153306154,11.57515858104095,178.31306451612903,-0.0020847085051511893,-0.05190788324297224
15540,2019,62200.0,쎌마테라퓨틱스보통주,580769486000.0,2.014391360086022,11.764003790181793,302.38961414791,0.546641705899481,0.5447037794421601
15590,2010,33200.0,큐로보통주,1817364348000.0,1.813746684547594,12.259442004062741,2990.49078313253,,
15590,2011,30675.0,큐로보통주,1679146125750.0,1.6490761490386627,12.225088491757747,2942.795338223309,-0.09079026134788248,-0.07605421686746983
15590,2012,23200.0,큐로보통주,1269965448000.0,0.5870310298394827,12.103791905249604,1385.0868103448277,-0.644024304043391,-0.24368378158109205
15590,2013,18100.0,큐로보통주,990792009000.0,0.26763521081244407,11.995982495227889,809.4100552486187,-0.5440867735975966,-0.21982758620689657
15590,2014,15850.0,큐로보통주,867627256500.0,0.20941154613208027,11.938333186912475,723.2280757097792,-0.21754859722537156,-0.12430939226519333
15590,2015,13850.0,큐로보통주,758147476500.0,0.5221606400743589,11.879753693759172,2063.755667870036,1.4934663332508955,-0.12618296529968454
15590,2016,11650.0,큐로보통주,824119718500.0,4.1548289939382155,11.915990305516624,25228.510386266094,9.282754835948733,0.08701768988872982
15590,2017,8335.0,큐로보통주,953983708590.0,3.0264604772625616,11.979540958215754,41558.96820635873,0.17856306625722085,0.1575790351508255
15590,2018,5705.0,큐로보통주,711599745430.0,3.019297642415122,11.852235784046,66013.1435582822,0.08721566770787015,-0.25407557904552325
15590,2019,7975.0,큐로보통주,1180871512425.0,2.3648583321442134,12.072202645724852,43908.276614420065,-0.07019683520704545,0.6594602794741475
15710,2010,20575.0,코콤,360690037500.0,1.628689084738028,11.557134146980054,1387.690595382746,,
15710,2011,21250.0,코콤,372523125000.0,1.5052448589600982,11.571153237482077,1241.7738823529412,-0.0757936102935114,0.03280680437424066
15710,2012,23875.0,코콤,418540687500.0,5.334995636176949,11.621737683351531,3917.283392670157,2.544270956595489,0.12352941176470589
15710,2013,26900.0,코콤,471570450000.0,5.307353013319643,11.673546583098155,3458.7565799256504,-0.005181376844970442,0.12670157068062826
15710,2014,60975.0,코콤,1068922237500.0,16.165492142266334,12.028946112081515,4647.628700287003,2.0458671397392396,1.266728624535316
15710,2015,114250.0,코콤,2002859625000.0,12.062814808476656,12.301650511837634,1850.916192560175,-0.2537922939607147,0.8737187371873718
15710,2016,115000.0,코콤,2016007500000.0,2.0728294115969312,12.304492143449359,315.98031304347825,-0.8281637043668835,0.006564551422319376
15710,2017,88950.0,코콤,1559337975000.0,0.722078092467414,12.19294025551569,142.30905002810567,-0.6516461564914227,-0.22652173913043483
15710,2018,73400.0,코콤,1286738700000.0,2.728500213912895,12.109490363011817,651.661757493188,2.77867746214171,-0.17481731309724569
15710,2019,66350.0,코콤,1163148675000.0,2.17143378682867,12.0656352302962,573.71996985682,-0.204165799307505,-0.09604904632152589
15750,2010,133000.0,성우하이텍,5320000000000.0,3.70930945,12.725911632295048,1115.5817894736842,,
15750,2011,142000.0,성우하이텍,7100000000000.0,3.02309288,12.851258348719075,1064.469323943662,0.01875191351317418,0.33458646616541343
15750,2012,127250.0,성우하이텍,6362500000000.0,2.28102448,12.803627795344815,896.2768094302554,-0.2454666229110367,-0.10387323943661975
15750,2013,134500.0,성우하이텍,6725000000000.0,2.24696918,12.827692288674445,835.3045278810409,-0.014929826618958475,0.056974459724950854
15750,2014,133750.0,성우하이텍,8025000000000.0,1.0268666166666667,12.90444504107691,460.6504448598131,-0.45159909135914356,0.19330855018587356
15750,2015,104950.0,성우하이텍,6297000000000.0,1.8832461833333334,12.799133693302062,1076.6533682706051,0.833973519800048,-0.21532710280373835
15750,2016,82450.0,성우하이텍,4947000000000.0,1.19561975,12.694341910364182,870.0689508793208,-0.3651282765996313,-0.21438780371605526
15750,2017,70950.0,성우하이텍,4257000000000.0,0.59576,12.629103650177136,503.8139534883721,-0.5017144874028721,-0.13947847180109152
15750,2018,50300.0,성우하이텍,4024000000000.0,0.9195197,12.604657972047871,1462.4567793240556,1.0579197439684886,-0.054733380314775704
15750,2019,36450.0,성우하이텍,2916000000000.0,0.816890975,12.464787519645936,1792.9020027434842,-0.11161123029773046,-0.2753479125248509
15760,2010,32225.0,한국전력공사보통주,20674519519200.0,0.8731354329751557,13.315435425233781,17383.25840186191,,
15760,2011,27800.0,한국전력공사보통주,17846601340600.0,0.6142447562529266,13.251555522433705,14184.283021582734,-0.2960722727214158,-0.13678277630460867
15760,2012,27775.0,한국전력공사보통주,17830552238675.0,0.58418142764708,13.251164794128535,13502.195895589559,-0.048943565736306316,-0.0008992805755395628
15760,2013,33150.0,한국전력공사보통주,21281109152550.0,0.7011608299073095,13.327994259256421,13578.282503770739,0.20024498678670777,0.19351935193519343
15760,2014,38625.0,한국전력공사보통주,24795862474125.0,0.5988977137111676,13.39437921894852,9953.937035598705,-0.14584830160814977,0.16515837104072406
15760,2015,46350.0,한국전력공사보통주,29755034968950.0,0.4147515905317549,13.473560464996146,5744.45786407767,-0.30747508124270695,0.19999999999999996
